prompt,completion
"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""California gubernatorial candidate and former Los Angeles Mayor Antonio Villaraigosa recently claimed about the Los Angeles Unified School District:
""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""
A 2006 study by the nonpartisan Education Week placed the district’s graduation rate at 44 percent, while a Harvard study the year before placed the rate at 45.3 percent. They both used enrollment data from the early 2000s.
School district officials in 2006 disputed the findings, saying improvements had been made and the rate was closer to 64 percent.
District data shows that rate had climbed to 70.2 percent immediately after Villaraigosa’s term ended. It rose to 72.2 percent and then 77 percent in the following two years.
Several observers of Los Angeles politics and education said Villaraigosa doesn’t get all the credit but did play an outsized role. He helped elect a reform-minded school board, install a superintendent and created a nonprofit that took control of and helped improve the district’s worst performing schools.
The dispute over the district’s view of its graduation rate is missing from Villaraigosa’s statement. As is the fact that the studies used data from the early 2000s, a few years before Villaraigosa took office.
But there’s certainly evidence to back up the former mayor’s claim about graduation rate improvements and his influence.
In the end, we rate Villaraigosa’s claim Mostly True.
MOSTLY TRUE– The statement is accurate but needs clarification or additional information.
Click here formoreon the six PolitiFact ratings and how we select facts to check.
UPDATE: We have updated our fact check to note that Dan Schnur’s wife, Cecile Ablack, served as deputy mayor for communications under former Mayor Villaraigosa.
sub-questions:","1. Did this city roughly have a 44 percent graduation rate when Villaraigosa took office?
2. Did these schools support these findings?
3. Did the study referenced in the claim cover a time period when Villaraigosa was mayor?
4. Did Villaraigosa help to increase the graduation rates of these schools?
5. Did the graduation rate for these schools increase after Villaraigosa left office?
6. When Villaraigosa became Mayor, did the city have a 44% high school graduation rate?
7. After Villaraigosa left office, did the graduation rate grow from 44 to 72%?
8. Was Villaraigosa helpful with the changes in graduation rates?
9. Can the city's initial 44% graduation rate be disputed?
10. Was Villaraigosa entirely responsible for the shifting graduation rates?"
"""Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty.""Krasner’s campaign for district attorney wrote that he ""is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty."" At this point in the race, two other candidates have made a similar pledge.
But it doesn’t appear either of those candidates were as explicit about that view throughout the campaign, unlike Krasner, who has long railed against the death penalty. When PolitiFact pointed out the discrepancy to Krasner’s campaign, the website was almost immediately updated.
We rate the claim Mostly False.
sub-questions:","1. Is Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty?
2. Have there ever been other candidates for DA who pledges to never seek the death penalty?
3. Were the other candidates as explicit as Krasner re: the death penalty?
4. Is Krasner the only candidate who explicitly pledged to not support the death penalty?
5. Have these opponents stood against the death penalty as long as Krasner?
6. Does Krasner's campaign messaging still include this claim?"
"Says New Jersey Rep. Leonard Lance voted repeatedly ""to let insurance companies charge more to people aged 50 and over.""Malinowski’s ad said that Lance voted repeatedly ""to let insurance companies charge more to people aged 50 and over."" The ad contains elements of truth but leaves out important facts:
The ACA already allows insurance companies to charge older customers more — just not as much more as they did before.
New Jersey limited those differences already, just not as much as the ACA.
The congressional bills to change or eliminate the ACA would not have affected people on employer plans or Medicare.
These factors matter. We rate the claim Half True.
sub-questions:","1. Do people in this age group pay more for insurance?
2. Has this amount this age group pays been reduced?
3. Did the state law have any limitations to this increased pay prior to federal insurance?
4. Did this representative vote for this policy?
5. Would changes in this federal insurance law affect everyone who carries insurance?
6. Does existing federal healthcare currently not charge older customers more?
7. Does this federal law allow these companies to charge even more for older customers?
8. Did this state have its own limitations on healthcare charges for this age group?
9. Would eliminating this federal healthcare affect those on other insurance plans?"
"“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”A Facebook post says: ""So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.""
The Kushner family is connected to Oscar Health, a health insurance company that recently launched a website to help locate nearby testing centers for the novel coronavirus.
Business Insider reported that Oscar Health shared the code it developed with HHS after it made its online portal public. But we found no evidence that Trump formally designated the company to help with the White House’s COVID-19 testing efforts.
We rate this post Half True.
sub-questions:","1. Is Oscar Health a Kushner company/connected to the Kushners?
2. Did Trump choose Oscar health to administer and/or profit from COVID tests?
3. Is Oscar health receiving profits from COVID tests?
4. Is this health company connected to the Kushner family?
5. Does this company do work related to COVID-19 testing?
6. Did this health company share any aspect of its business with the Kushner family?
7. Did Trump collaborate with this company to profit from COVID-19 testing?"
"Says Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”A Facebook post claims Fauci has downplayed the potential use of chloroquine and hydroxychloroquine to treat coronavirus patients because he stands to lose $100 million on a Gates-funded vaccine.
There are 70 potential COVID-19 vaccines in development, one of which was created by NIAID scientists in partnership with Moderna, Inc. That vaccine is being manufactured by an organization that the Gates Foundation supports, but there’s no evidence that NIAID or Fauci will directly profit from that support. And the Gates Foundation has pledged up to $60 million for vaccine development, not $100 million, as the post says.
Some studies have found that chloroquine and hydroxychloroquine could help treat coronavirus patients, but others have found no effect at all. Public health officials have urged caution due to the uncertainty and the adverse side effects of the drugs.
The Facebook post is inaccurate. We rate it False.
sub-questions:","1. Has Gates invested money in this vaccine?
2. Does Fauci stand to profit from this vaccine?
3. Have Gates' organizations invested $100 million for vaccine development?
4. Is it conclusive that these substances can be used to treat the coronavirus?
5. Is there $100 million on the line in relation to a Gates funded vaccine?
6. Did Fauci invest in Gates vaccine?
7. Did Fauci stand to lose $100 million from investing in the Gates vaccine?"
"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""McCabe says: ""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""
His claim is based on a 2015 report which found that the top 1 percent of earners (income of $399,000 and above) pay 6.2 percent of their income in state and local taxes -- a lighter burden than six lower income groups. It’s important to note that the report’s methodology has its critics, but it is the latest available study that attempts to assess state and local tax burdens.
With that caveat, we rate the statement Mostly True.
More fact checks on the richest
Mark Pocan:Under ""Trumpcare,"" the Republican replacement for Obamacare, ""$600 billion worth of tax breaks will go to the wealthiest in this country.""Half True.
Jennifer Shilling:Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average --  would get more tax relief than the bottom 60 percent of taxpayers combined.""True.
Bernie Sanders:""The top one-tenth of 1 percent"" of Americans ""own almost as much wealth as the bottom 90 percent.""Mostly True.
Jeb Bush:""The top 1 percent pay 45 percent of all taxes in the country.""Half True.
sub-questions:","1. In Wisconsin, do the wealthiest 1 percent pay the lowest overall tax rate in local and state taxes?
2. Is there proof that in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate in local and state taxes?
3. Does the wealthiest 1 percent in this state pay the lowest tax rate?
4. Are the findings in the study this claim is based on well accepted?
5. Is the study referenced in this claim the most recent one available?"
"“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”Gillibrand said, ""We had the highest number of (military) sexual assaults ever reported in the last year"" and ""we had the lowest conviction rate and the lowest prosecution rate.""
The number of reported military sexual assaults increased in all but one year between 2010 and 2019, and the number reached a record in 2019. The number of estimated assaults based on survey data also increased between 2016 and 2018, the most recent two years for which data is available.
Conviction and prosecution rates have also dropped in most years since 2013. However, the decline in prosecution and conviction rates may be related to an increase in reported assaults, changing the mix of cases that are most prosecutable.
We rate the statement Mostly True.
sub-questions:","1. Is it true we had the highest number of (military) sexual assaults ever reported in the last year?
2. Is it true we had the lowest conviction rate in the last year?
3. Is it true we had the lowest prosecution rate in the last year?
4. Was the highest number for these cases reported for this period?
5. Have these rates dropped in recent years?
6. Is the drop in these rates related to the increase in these reported cases?
7. Are these rates currently at their lowest?"
"""States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.""Biggs said that New York was one of several states demanding federal funds to bail out pension funds. He also claimed that New York and other states want federal funds to pay for programs not related to the pandemic.
New York’s pension fund was one of the strongest in the country, according to a nonpartisan, nationwide analysis published in 2019, before the crisis hit state budgets. The New York state comptroller said that the pension system has not requested federal funds.
The other part of Biggs’ statement – that the funding will pay for programs not related to the pandemic – is correct but misleading. The tax receipts that fund the full range of state governments have been sharply reduced by the pandemic. The federal funding sought by states would partly offset those pandemic losses.
We rate this claim False.
sub-questions:","1. Did all of these states have failing pension funds before this crisis?
2. Have all of these states requested federal funds?
3. Will this federal funding pay for programs not related to this crisis?
4. Did this crisis reduce the level of funding in general for any of these states?
5. Is it true states like NY, CA and Illinois have been vocal in their demands for funding to bail out their pension systems?
6. Were the pension systems in NY, CA and Illinois failing long before COVID?
7. Do states want funding to pay for programs not related to COVID?"
"Image quotes Sen. Ted Cruz as saying, “In the last election, 54 million evangelical Christians stayed home. If Christians will simply show up and vote our values, we’ll turn this country around.”A viral image quotes Cruz as saying, ""In the last election, 54 million evangelical Christians stayed home. If Christians will simply show up and vote our values, we’ll turn this country around.""
Cruz said this in 2015, referring to the 2012 presidential election. As to its substance, there is no definitive evidence that 54 million evangelical Christians declined to vote in 2012.
We rate this claim Half True.
sub-questions:","1. Did Cruz say these words verbatim?
2. Were these remarks related to the last presidential election?
3. Did this many evangelical Christians refuse to vote in the last election?
4. Did 54 million Evangelical Christians stay home and not vote in the last election?
5. If  the aforementioned Christians voted, would election results change?"
"Says Rep. Mike Coffman is ""the one who said"" he would support Trump.The DCCC said of Coffman, ""You’re the one who said you’d support (Trump),"" in response to Coffman’s ad saying he would stand up to Trump.
The DCCC’s evidence is based on a six-month-old statement during the primary by his campaign spokeswoman. The spokeswoman said Coffman would ""support the Republican nominee,"" stressing Coffman wanted Rubio out of the remaining 11 candidates.
Since then, Coffman has become the only Republican House lawmaker to issue an ad criticizing his party’s presidential nominee. He has condemned Trump’s treatment of a Gold Star family and demanded that he retract his ""totally unAmerican slur"" of a Mexican-American judge.
Most importantly, Coffman himself has repeatedly said the billionaire has a long way to go to earn his support.
The DCCC ad skirts key facts. Coffman has never embraced Trump’s candidacy —  even saying ""I don’t like him much"" — and he’s gone farther than most Republicans in rebuking his ""polarizing and divisive campaign.""
We rate the claim Mostly False.
https://www.sharethefacts.co/share/938b726f-2ca6-43ce-9262-12a148b2ad23
sub-questions:","1. Did Coffman support Trump?
2. When Coffman said he would support the Republican nominee, was he referring to Trump?
3. Did Coffman say that he will support another presidential nominee?
4. Has Coffman ever indicated that he would support Trump?
5. Has Coffman ever criticized Trump?"
"""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""Bruce Rauner said his grandparents were immigrants from Sweden who came to the U.S. ""in the late 1800s.""
We have no reason to doubt that Rauner’s grandparents meant the world to him. But the Census plainly refutes his claim that they were immigrants. What’s more, both couldn’t have come to the U.S. in the late 1800s because they weren’t even born until the early 1900s — in Wisconsin, not Sweden. Rauner’s assertion in August that his grandparents immigrated to Illinois is yet another inaccuracy.
Since we don’t have a time machine, we can’t say for certain what language was spoken in the Erickson and Wedin childhood homes. But to the extent that Rauner implies the Ericksons' facility with English was limited, Census reports refute that notion as well.
Topping all that is the acknowledgement by Rauner himself in his 2014 Tribune interview that his grandparents were not immigrants. Still, he continued to repeat the claim on many occasions.
Census records and Rauner’s own admission show that this statement has no credibility. That is why it earns our lowest possible rating, Pants On Fire.
sub-questions:","1. Did Rauner's grandparents immigrate to Illinois from another country?
2. Did Rauner's family immigrate to this state during this period?
3. Did Rauner's grandparents speak a limited amount of English when they were younger?
4. Has Rauner acknowledged that his grandparents are not immigrants?
5. Did Rauner's grandparent's immigrate to the United States in the late 1800s?
6. Did Rauner's grandparent's not speak English when they immigrated?
7. Were Rauner's grandparent's immigrants to Illinois?"
"""Kanye (West) looks and he sees black unemployment at the lowest it’s been in the history of our country. He sees Hispanic unemployment at the lowest it’s been in the history of our country. He sees (women’s unemployment) the lowest it’s been in now almost 19 years.""Trump said, ""Kanye looks and he sees black unemployment at the lowest it’s been in the history of our country. He sees Hispanic unemployment at the lowest it’s been in the history of our country. He sees (women’s unemployment) the lowest it’s been in now almost 19 years.""
The unemployment rates for African-Americans and Hispanics have hit all-time lows in recent months on Trump’s watch, and the rate for women was recently the lowest it’s been in more than 18 years. But it’s worth remembering that,to the extent that presidents deserve any credit for economic conditions on their watch, the heavy lifting in getting rates that low occurred before Trump became president.
We rate the statement Mostly True.
sub-questions:","1. Is black unemployment currently the lowest in the history of the country?
2. Is hispanic unemployment currently the lowest in the history of the country?
3. Is women's unemployment the lowest it's been in 19 years?
4. Can Trump claim credit for the low rates of employment for women, black and hispanic populations?
5. Do these racial groups reach all-time lows in unemployment?
6. Did this president play a role in these unemployment trends?
7. Were these trends in unemployment solely caused by this president?"
"“New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess. They have no idea what is going on. Rigged Election.”The state Board of Elections told us that an unknown number of voters who requested ballots did not receive them, and that ballots placed in the mail were not received by the board. These could be considered ""missing,"" the word used by Trump.
But in the same tweet, Trump claims that the election in New York was ""rigged,"" leaving the reader with the impression that these ballots are missing because there was malicious intent, where none has been proven in New York.
We rate Trump’s claim Mostly False.
sub-questions:","1. Were NY Mail in ballots missing?
2. Was there any fraud with NY mail in ballots?
3. Did the missing NY ballots involve voting fraud?
4. Did all mail-in voters in this state receive their ballots?
5. Did the election board receive these ballots?
6. Is there evidence for the election in this state being rigged?"
"""When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said ‘no, we're building a wall and we're deporting everybody.’ He said, quote, ‘they will all be gone. They will all be gone.’ This is one of the ones where you can go to the tape on it and see what Donald Trump has said.""Kaine said, ""When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said ‘no, we're building a wall and we're deporting everybody.’ He said, quote, ‘They will all be gone. They will all be gone.’ This is one of the ones where you can go to the tape on it and see what Donald Trump has said.""
Trump has not always been consistent about his deportation plans. But in Phoenix, he did not literally say of the entire undocumented immigrant population, ""they will all be gone."" He used that kind of language to describe his plans for immigrants who had committed crimes, saying they would be the first to go.
However, Trump did say in the same speech that people here illegally today and who want to be legalized ""have one route and one route only, to return home and apply for reentry like everybody else."" Trump’s language in the Phoenix speech for the non-criminal pool of undocumented immigrants was more tamped-down than Kaine presented.
We rate Kaine’s statement Half True.
https://www.sharethefacts.co/share/795768d7-688c-4bda-a0cd-56adfa602533
sub-questions:","1. Do Trump's immigration plans explicitly support/refer to deporting every undocumented person?
2. Did Trump's stance of deportations refer to a specific group of people?
3. Did Trump literally say that all these immigrants will be gone?
4. Was Trump describing all immigrants in this statement?
5. Did Trump call for all undocumented criminals to be deported?
6. Did Trump call for the deportation of non-criminal immigrants?"
"""When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago, they temporarily shut down the wells that were injecting fracking fluid into the ground ... (and) those earthquakes stopped.""Maddow said, ""When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago, they temporarily shut down the wells that were injecting fracking fluid into the ground ... (and) those earthquakes stopped.""
An airport official confirms Maddow's story, aside from the fact that it was one well. Officials at the airport asked that a well be shut down, and after it was, the earthquakes eventually stopped. Seismologists linked the well to the earthquakes.
We rate the claim True.
Update: This item was updated on Feb. 24, 2014, to make clear that airport officials asked Chesapeake Energy to shut down the well.
sub-questions:","1. Were any wells in this area shut down? 
2. Were all of these wells in this area shut down?
3. Did the earthquakes stop after this well was shut down?
4. Did the well activity in this area cause the earthquakes?
5. Did the Dallas/FW Airport shut down wells injected fracking fluid into ground to stop it's earthquake spike?
6. Did Did the Dallas/FW Airport shutting down wells actually stop earthquakes?"
"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""Vos said ""almost none"" of the 1,000 or so people failing a background check each in year in Wisconsin are prosecuted. It’s a lot more complicated claim than it might seem.
Indeed, on average only about two people per year are charged specifically with the crime of providing false information on a background check.
Prosecutors say violators can also be charged with the more serious crime of being a felon in possession of a firearm — or attempting to do so. But anecdotally we found no evidence that this happens frequently.
And, of course, failing a background check is only a crime if the applicant knew they were banned from having a gun.
Add it all together and we get a statement that appears to be accurate, but it needs some additional information and clarification. That’s what we call Mostly True.
sub-questions:","1. Were almost none of the 1,000 who failed background checks prosecuted for trying to illegally buy a weapon?
2. Can other charged be applied if a background check is failed?
3. Are very few people charged with falsely completing a background check?
4. Do these violations often result in being charged with any crime?
5. Does a failed background check constitute a crime in all cases?"
"""Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.""Snowden said, ""Even if you sent it to someone within the United States, your wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the database.""
In Oliver’s context of a naked picture, the comment may be surprising. But to experts familiar with the laws governing surveillance practices and the NSA programs brought to light through his leaks, Snowden is correct that this could happen.
But this isn’t the most likely scenario for most Americans emailing other Americans day-in, day-out. Moreover, the NSA is supposed to ""minimize"" domestic emails that get caught up in a broader sweep, either by deleting them or not searching or using the information.
Snowden’s claim is accurate but misses that context. We rate it Mostly True.
sub-questions:","1. Can domestic communications be collected in this database?
2. Are domestic communications often collected in this database?
3. Is this information ever deleted off of this database?
4. Can domestic communication end up in the NSA database?
5. Is there a high likelihood domestic communication end up in the NSA database?"
"“There was no effort” to get American experts into China after it announced the coronavirus, and “we had one person in-country (and Trump) pulled him out of the country.”Biden said that Trump made ""no effort"" to get American experts into China and pulled the ""one person"" the U.S. had on the ground out of China.
Trump’s personal role is unclear, but his Health and Human Services secretary did make the effort to get U.S. experts inside. The department reached out to China in the first week of January, and secretary Azar asked his Chinese counterpart again in late January. China resisted outsiders, both from the U.S. and WHO.
Biden’s assertion that Trump pulled the ""one person"" out of China has more substance, but is not as straight-forward as he made it sound. An American CDC epidemiologist left in July and was not replaced. The overall American staff went from eight down to three. According to the Health and Human Services Department, the staff reduction was mainly driven by changes in the U.S. strategy to reduce HIV/AIDS. Biden made it sound as though everyone left, but some CDC staff remained.
The first claim is, at best, exaggerated, and the second is murky on the details. We rate Biden’s attack Mostly False.
sub-questions:","1. Did Trump pull an American expert out of this country?
2. Was this the only American expert in this country?
3. Were these staff reductions because of the emerging coronavirus in this country?
4. Was there no effort to get American experts to China after announcement of COVID?
5. Was there only one American expert in China at the time of the COVID announcement?
6. Did Trump pull the only American expert out of China when COVID was announced?"
"Says Donald Trump contradicted his own administration when he said the decision to allow blueprints for 3D-printed guns to be distributed ""doesn’t seem to make much sense.""A headline suggested that the government settlement that would have made 3D-printable guns available for download was actually a Trump administration decision, and that Trump said that didn't ""make much sense.""
We could not independently determine the extent of Trump’s involvement, although Sanders said the president was not afforded the opportunity to approve of the settlement decision. But the State Department under Trump did initiate the settlement after previously taking steps to clear a path for it.
However, the Obama administration’s export control reform made those steps possible, and it is not far-fetched to consider the Trump administration’s move a continuation of that initiative.
We rate this statement Mostly True.
sub-questions:","1. Did Trumps administration allow for blueprints of 3D printed guns to be distributed?
2. Is there proof Trump supported the distribution of blueprints for 3D guns?
3. Did Trump have the chance to approve this settlement?
4. Did members of the Trump administration initiate this settlement?
5. Did groundwork for this settlement begin under the Trump administration?"
"Quotes Sen. Elizabeth Warren as saying ""If women need to be raped by Muslims to prove our tolerance, so be it. Then thank goodness for Planned Parenthood.""A meme attempts to link Warren to an offensive quote that said ""If women need to be raped by muslims to prove our tolerance, so be it. Then thank goodness for Planned Parenthood.""
Warren did not say that and the quote appears to be entirely fabricated. We found no instances of Warren (or anyone else) saying those words.
We rate this claim Pants on Fire!
sub-questions:","1. Did Warren say these words verbatim?
2. Is this quote attributable to anyone?
3. Did anyone affiliated with Warren say these words?
4. Did Warren say If women need to be raped by muslims to prove our tolerance, so be it. Then thank goodness for Planned Parenthood.""?
5. Is there any proof Warren said If women need to be raped by muslims to prove our tolerance, so be it. Then thank goodness for Planned Parenthood.""?"
"Says Russ Feingold said that with Obamacare, ""we could keep our doctors and our plans, it was rated as the Lie of the Year.""The U.S. chamber says Feingold said that with Obamacare ""we could keep our doctors and our plans, it was rated as the Lie of the Year.""
Feingold did make that statement about keeping doctors and insurance plans during his 2010 Senate campaign. And that was PolitiFact National’s 2013 Lie of the Year.
We rate the statement True.
https://www.sharethefacts.co/share/1d26d6c2-f62b-48ee-827c-0c3e0efb4e6b
sub-questions:","1. Did Feingold say that with Obamacare , we could keep our doctors and our plans?
2. When Feingold said with Obamacare, we could keep our doctors and plans, was it rated lie of the year?
3. Did Feingold state that people can keep their doctors under Obamacare?
4. Was this claim rated as Lie of the Year?
5. Did Feingold state that people can keep their health insurance plans under Obamacare?"
"""The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months.""Warner said, ""The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months.""
The gist of Warner’s statement is undeniable: The average holding period for stocks has eroded greatly during the past 56 years.
The specifics of Warner’s statement, however, need a little elaboration. Estimates by Credit Suisse jibe with Warner’s claim that shares, on average, now are held for four months. The World Bank estimates the holding period now is about eight months.
So we rate Warner’s statement Mostly True.
sub-questions:","1. Has the amount of share holding time decreased greatly over this period?
2. Do any findings support this current average time?
3. Do any findings contradict this current average time?
4. Was the average time to hold stock in the 60's 8 years?
5. Is the current average time to hold stock 4 months?
6. Has the average time to hold stock decreased significantly?"
"“Obesity is, like, the No. 1 factor in whether you really get hit hard by COVID-19.”DeSantis said ""obesity is, like, the No. 1 factor in whether you really get hit hard by COVID-19.""
DeSantis didn’t explain what he meant by ""hit hard,"" so we looked at research about COVID-19 patients who were hospitalized. We did not find any study that showed that obesity is the No. 1 risk factor. Most research and evidence so far shows age as the top factor. But early research suggests that obesity is also a key risk factor.
We rate this statement Half True.
sub-questions:","1. Is obesity the primary risk factor for COVID-19?
2. Was DeSantis referring to a specific level of COVID-19 infection?
3. Is there a known primary risk factor for COVID-19?
4. Is obesity considered a key risk factor for COVID-19?
5. Is Obesity the number one factor affecting extent of Covid infection?
6. Is obesity a factor that can contribute to a difficult experience with COVID?
7. Is there a factor besides obesity that may impact COVID more?"
"COVID-19 is “here to stay” and “we need to accept that and be prepared to deal with COVID long term.”A widely shared Facebook post from a Wisconsin doctor said we need to face the reality that COVID-19 is ""here to stay"" and ""we need to accept that and be prepared to deal with COVID long term.""
He was making the point that staying indoors for another month or two with extended shelter-in-place orders won’t get rid of the virus. (Though, as noted, the shelter-in-place orders are not meant to fully eradicate the virus.)
Experts say it’s still too early to know this with complete certainty, since much remains unknown about the nature of immunity. And we have no clue how effective a future vaccine may be.
But a best guess at this point is that COVID-19 could indeed stick around long-term, waxing and waning similar to the seasonal flu. Experts say there’s also reason to believe that lingering version could be less severe, though, a nuance Murdock did not address.
Based on what we know now, we rate this claim Mostly True.
sub-questions:","1. Is it correct to characterize COVID as ""here to stay""?
2. Is it fair to say that “ we need to accept that and be prepared to deal with COVID long term . ”?
3. Was the original post talking about specific COVID-related practices?
4. Is it certain that this disease will be around for the long term?
5. Is it possible that this disease will be around long-term?
6. Is it possible that the impact of this disease will be lessened over time?"
"Says Dan Bishop ""took the only vote from either party — the only vote — against pharmacists being able to tell people about lower-cost drugs.""McCready said Bishop was the only member of the House or Senate to vote against a bill allowing pharmacists to tell people about lower-cost drugs. The roll call confirms that is correct.
However, McCready ignores the fact that Bishop supported an identical version of the bill. That vote and his statements indicate he supports the policy.
We rate the claim Half True because it leaves out important details and takes things out of context.
sub-questions:","1. Was Bishop the only one to vote against this bill?
2. Did Bishop support any later versions of the bill?
3. Does Bishop support the idea behind this policy?
4. Was Bishop the only member of the House or Senate to vote against allowing pharmacists to tell people about lower cost drugs?
5. Did Bishop generally not support allowing pharmacies to tell people about lower cost drugs?"
"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”Social media posts claimed the CDC was revoking its emergency use authorization request for its COVID test because it couldn’t differentiate between the COVID virus and flu viruses. While the CDC is withdrawing its EUA request for the 2019-nCoV RT-PCR test, it is not because the test is faulty.
Rather, it’s because the agency is concerned that, with flu season approaching, patients with respiratory illness symptoms should be screened for both the flu and COVID. The patients shouldn’t be tested for COVID alone, because flu cases might be missed.
The statements made in these Facebook posts are not accurate. We rate this claim False.
sub-questions:","1. Was the CDC going to revoke the emergency use authorization "" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses?
2. Do the COVID tests not differentiate between COVID and flu viruses?
3. Are flu cases being noted as COVID cases because of COVID testing?
4. Was the CDC going to revoke the emergency use authorization "" of the PCR COVID tests in general?
5. Is the CDC revoking the emergency use authorization for these tests?
6. Is the CDC changing its policy regarding screening for the flu or COVID?
7. Do these tests differentiate between COVID and the flu?
8. Is the CDC revoking the emergency use authorization because the tests are faulty?"
"Says VA doctors are ""censored from being able to talk to their patients"" about marijuana, even in states where it is legal for medicinal useBaldwin said VA doctors ""are censored"" from talking to patients about the benefits of marijuana.
But the evidence her office cites relates only to VA bans on recommending or prescribing the drug. And VA guidelines explicitly encourage veterans to discuss marijuana use with providers.
There’s an element of truth to Baldwin’s claim — since those discussions are presumably limited by the restrictions the VA imposes — but there is no evidence of censorship.
That’s our definition of Mostly False.
sub-questions:","1. Are VA doctors entirely censored"" from talking to patients about the benefits of marijuana?
2. Are there any restrictions in general with the VA and marijuana? 
3. Are VA doctors allowed to recommend the use of marijuana?
4. Can patients talk about marijuana use with VA doctors?
5. Is there evidence of this organization censoring discussions about marijuana?"
"Says that as of March 2018 compared with 2017, ""there’s been a more than 200 percent increase in the number of people who are apprehended coming across the border. And, I’ll tell you this, there’s been a more than 200 percent increase in apprehension of heroin coming across the border.""Abbott said that as of March 2018 compared with 2017, ""there’s been a more than 200 percent increase in the number of people who are apprehended coming across the border. And, I’ll tell you this, there’s been a more than 200 percent increase in apprehension(s) of heroin coming across the border.""
This claim has an element of truth in the 200-plus percent escalation in apprehensions when you compare the chosen months, though it’s worth noting that the percentage starts from border apprehensions in March 2017 setting an 18-year-low. Meantime, we found, border apprehensions in the first half of fiscal 2018 trailed apprehensions in the comparable stretch of 2017.
We didn't find evidence that border heroin seizures have lately increased more than 200 percent.
We rate this claim Mostly False.
MOSTLY FALSE– The statement contains an element of truth but ignores critical facts that would give a different impression. Click here formoreon the six PolitiFact ratings and how we select facts to check.
sub-questions:","1. Was there a 200 percent increase in border apprehensions for this time period?
2. Was this 200 percent increase occur through the entire year?
3. Did these two years have similar trends in border apprehensions?
4. Was there a 200 percent increase in heroin border seizures?
5. As of 3-2018, was there a 200%+ increase in border apprehensions?
6. As of 3-2018, was there a 200%+ increase in border apprehensions related to heroin?
7. As of 3-2018, did border apprehensions increase overall?"
"Says Sarah Jeong said, ""We need a castration lottery for white men. Every month we pull a birthday, sort the excess and snip some sacks, preferably in a big public gathering.""Kolfage falsely attributed a quote to Jeong. ""She has never called for a ""castration lottery"" of white men. The fake quote first appeared on 4chan when Jeong was the subject of an internet controversy.
We rate this claim False.
This fact check is available at IFCN’s 2020 US Elections FactChat #Chatbot on WhatsApp. Clickhere, for more.
sub-questions:","1. Is this a genuine quote of what Jeong said?
2. Did Jeong call for a castration lottery of white men?
3. Did this quote appear during a time of controversy surrounding Jeong?
4. Did Jeong say we need a castration lottery for white men?
5. Is there any proof of Jeong saying we need a castration lottery for white men?"
